Row,DSATUR,RLF,Greedy,best
1,0.0,0.0,-0.965584845902705,0.0
2,0.0,0.0,0.9083531822977198,0.0
3,0.0,0.0,0.9083531822977198,0.0
4,0.0,0.0,-0.965584845902705,0.0
5,0.0,0.0,-0.965584845902705,0.0
6,0.0,0.0,0.3484913901296783,0.0
7,0.0,0.0,1.568827379972952,0.0
8,0.0,0.0,0.7288730051360729,0.0
9,0.0,0.0,1.1286706272562137,0.0
10,0.0,0.0,-0.965584845902705,0.0
11,0.0,0.0,-0.965584845902705,0.0
12,0.0,0.0,-0.965584845902705,0.0
13,0.0,0.0,0.7288730051360729,0.0
14,0.0,0.0,-0.965584845902705,0.0
15,0.0,0.0,-0.965584845902705,0.0
16,0.0,0.0,1.4042369949952105,0.0
